Station	Distance	Euclidean
TARA_155_155	0.0	0.0
TARA_155_158	198.20850974724132	1672.0593681621585
TARA_155_178	509.5044178282462	4165.783264022332
TARA_155_209	298.2576133970956	2278.5029663618884
TARA_155_210	284.56783858587903	2384.8633611661944
TARA_158_155	999.4841088809646	1672.0593681621585
TARA_158_158	0.0	0.0
TARA_158_178	355.8317774055624	2502.7577484905037
TARA_158_209	325.14563154940555	2353.282233279253
TARA_158_210	311.45585673818897	2675.0436787621584
TARA_178_155		4165.783264022332
TARA_178_158		2502.7577484905037
TARA_178_178	0.0	0.0
TARA_178_209		3820.916562969798
TARA_178_210		4201.757042892727
TARA_209_155	375.06677258471535	2278.5029663618884
TARA_209_158	3021.80043438511	2353.282233279253
TARA_209_178	1278.4523143822134	3820.916562969798
TARA_209_209	0.0	0.0
TARA_209_210	119.57927745211846	382.653819007682
TARA_210_155	348.92375094732466	2384.8633611661944
TARA_210_158	2794.2224924577513	2675.0436787621584
TARA_210_178	1050.8743724548553	4201.757042892727
TARA_210_209	162.6538055611865	382.653819007682
TARA_210_210	0.0	0.0
