Station	Latitude	Longitude	si	no3	po4	T	salinity	O2
TARA_4	36.5533	-6.5669	0.0667450577020645	0.896255075931549	0.0759406462311745	21.4806900024414	36.4953140751008	5.38346576690674
TARA_7	37.0434	1.9493	0.0533297508955002	0.695519804954529	0.186078161001205	24.8818092346191	37.5273348001333	4.75346612930298
TARA_9	39.0864	5.791	0.794113576412201	0.182992473244667	0.186433911323547	24.5391902923583	37.729539738145	4.72821807861328
TARA_11	41.6645	2.7983	0.409797642867835	0.194194780872052	0.0634290325683159	21.5503938435476	37.620254054214	5.04213302166431
TARA_18	35.7606	14.2522	2.56714272499084	0.0969384014606476	0.0180639103055	21.1550102233887	38.195024802468	5.16480731964111
TARA_20	34.453	14.9538	2.35942149162292	0.218008488416672	0.00744273513555527	21.9228000640869	38.1909476121267	5.16775369644165
TARA_22	39.5705	17.4101	2.15613042314847	0.131204797390364	0.0767671313861809	19.7553968584634	38.4510737163265	5.19136189639084
TARA_23	42.1735	17.7252	2.98784285836052	0.122877887258175	0.095374564372673	18.6288644221791	38.4245318362587	5.25327209422463
TARA_25	39.3888	19.3905	1.3467093706131	0.356013089418411	0.0145492777228355	18.6266098022461	38.5957732923103	5.12879323959351
TARA_26	38.425	20.1913	1.99622285366058	0.0634798184037209	0.0699991956353188	19.5993099212646	38.6622980117798	4.96510028839111
TARA_30	33.9178	32.8872	1.69966101646423	0.174666181206703	0.163139685988426	20.1835098266602	39.2375600091342	5.05239582061768
TARA_66	-34.9449	17.9189	6.89347839355469	3.37231349945068	0.651183009147644	16.2318992614746	35.4363145671907	5.73172998428345
TARA_67	-32.2401	17.7103	4.09819555282593	3.40502452850342	0.688681602478027	15.5328998565674	35.37932472229	6.01613330841064
TARA_68	-31.0266	4.665	4.42164468765259	0.230036318302155	0.504669070243835	16.7169094085693	35.6008164205669	5.67405939102173
TARA_70	-20.4091	-3.1759	1.76738619804382	0.363336086273193	0.263889759778976	19.6278896331787	36.2395159403483	5.23323917388916
TARA_72	-8.7789	-17.9099	1.51134419441223	0.212936654686928	0.121102586388588	24.5235004425049	36.290648566352	5.03085517883301
TARA_76	-20.9354	-35.1803	2.64136552810669	0.288455814123154	0.136135190725327	24.2419910430908	37.0562597074007	4.73726511001587
TARA_78	-30.1367	-43.2899	2.46605372428894	0.140647143125534	0.033548466861248	20.2636089324951	36.3037188965597	5.34642696380615
TARA_80	-40.6511	-52.182	3.0719952583313	2.80772924423218	0.425767660140991	14.2657098770142	34.6682003359251	6.11823463439941
TARA_81	-44.5342	-52.455	1.81507396697998	3.25877332687378	0.5267453789711	13.4427099227905	34.3415263611593	6.33851337432861
TARA_82	-47.1863	-58.2902	2.13683271408081	8.45102500915527	0.773569881916046	10.5915098190308	33.9608983621969	7.0713906288147
TARA_83	-54.3739	-65.1342	6.19558515778137	12.9329616219278	1.0172560648628	6.25020652725583	33.6749640570747	7.27598936847909
TARA_84	-60.2287	-60.6476	29.6422882080078	23.3165702819824	1.71381425857544	1.78521001338959	33.8986315371385	7.81067657470703
TARA_85	-62.0385	-49.529	66.1887969970703	24.2270431518555	1.51847922801971	-0.248309999704361	33.7938573389877	8.03819465637207
TARA_142	25.6236	-88.45	2.77839040756226	1.13751208782196	0.130614906549454	24.0624103546143	35.7607253705952	4.88260793685913
TARA_143	29.6394	-79.5395	1.17708265781403	0.572801828384399	0.126485928893089	23.9615097045898	36.400661239624	4.91107177734375
TARA_144	36.4121	-72.9289	1.63915359973907	1.20843875408173	0.236195504665375	18.6252994537354	35.8505096435547	5.31251192092896
TARA_145	39.2305	-70.0377	4.56961250305176	4.04873371124268	0.554422557353973	10.3656997680664	34.664668317701	6.23937273025513
TARA_146	34.6712	-71.3093	1.23344027996063	0.405130565166473	0.106005035340786	19.7044086456299	36.2014664488953	5.18366003036499
TARA_147	33.061	-66.5435	0.789859533309937	0.668011665344238	0.0314641855657101	19.7904090881348	36.5809982676565	5.20513772964478
TARA_148	31.6948	-64.2489	0.75271201133728	0.242606788873672	0.0331071838736534	20.1158905029297	36.6879854555483	5.13161087036133
TARA_149	34.0964	-49.8906	2.57794284820557	0.772685885429382	0.0495676621794701	18.8619003295898	36.5533029061777	5.3289623260498
TARA_150	35.9346	-37.3032	1.34579432010651	0.259098649024963	0.0950994044542313	17.9126091003418	36.4560971201202	5.59947681427002
TARA_151	36.1375	-28.935	3.14503359794617	0.630994200706482	0.196511968970299	17.0631999969482	36.3196364776998	5.72209358215332
TARA_152	43.6792	-16.8344	3.39891576766968	4.83279085159302	0.282885551452637	13.4075908660889	35.8342132568359	6.0082836151123
